title,address,city,state,postal_code,price,facts and features,real estate provider,days on Zillow,url
Lot / Land for sale,,Claremont,CA,91711,"$490,000","None bds, None ba ,None sqft",HELP-U-SELL PRESTIGE PROP'S,0,https://www.zillow.com/homedetails/631-Blanchard-Pl-Claremont-CA-91711/95562721_zpid/
New construction,,Claremont,CA,91711,"$419,990+","2 bds, 3.0 ba ,1212 sqft",Taylor Morrison,4,https://www.zillow.com/community/meadow-park/2081115673_zpid/
House for sale,,Claremont,CA,91711,"$1,250,000","5 bds, 4.0 ba ,2805 sqft",CENTURY 21 Citrus Realty,4,https://www.zillow.com/homedetails/4669-Webb-Canyon-Rd-Claremont-CA-91711/21653986_zpid/
House for sale,,Claremont,CA,91711,"$775,000","3 bds, None ba ,2678 sqft",Wheeler Steffen Sotheby's International Realty,5,https://www.zillow.com/homedetails/4237-La-Junta-Dr-Claremont-CA-91711/21497141_zpid/
New construction,,Claremont,CA,91711,"$476,541+","3 bds, 3.0 ba ,1618 sqft",Taylor Morrison,5,https://www.zillow.com/community/meadow-park/2081115674_zpid/
Lot / Land for sale,,Claremont,CA,91711,"$29,900","None bds, None ba ,None sqft",COLDWELL BANKER LEADERS,6,https://www.zillow.com/homedetails/5301-N-Palmer-Canyon-Rd-Claremont-CA-91711/2096130090_zpid/
New construction,,Claremont,CA,91711,"$448,999","2 bds, 3.0 ba ,1212 sqft",Taylor Morrison,6,https://www.zillow.com/homedetails/1038-Newberry-Ln-Claremont-CA-91711/2082698476_zpid/
Apartment for sale,,Claremont,CA,91711,"$775,000","4 bds, 2.0 ba ,1382 sqft",Realty One Group West,7,https://www.zillow.com/homedetails/431-W-7th-St-Claremont-CA-91711/21500671_zpid/
New construction,,Claremont,CA,91711,,"None bds, None ba ,None sqft",Century Communities,7,https://www.zillow.com/community/gable-crossing/2088570818_zpid/
House for sale,,Claremont,CA,91711,"$762,000","3 bds, 2.0 ba ,1790 sqft",CURTIS REAL ESTATE,8,https://www.zillow.com/homedetails/517-S-College-Ave-Claremont-CA-91711/21502404_zpid/
New construction,,Claremont,CA,91711,"$496,586+","3 bds, 3.0 ba ,1835 sqft",Taylor Morrison,9,https://www.zillow.com/community/meadow-park/2081115664_zpid/
New construction,,Claremont,CA,91711,"$406,531+","2 bds, 3.0 ba ,1234 sqft",Taylor Morrison,10,https://www.zillow.com/community/meadow-park/2081115675_zpid/
House for sale,,Claremont,CA,91711,"$669,900","5 bds, 2.0 ba ,1999 sqft",REALTY MASTERS & ASSOCIATES,10,https://www.zillow.com/homedetails/842-Occidental-Dr-Claremont-CA-91711/21497703_zpid/
House for sale,,Claremont,CA,91711,"$699,000","4 bds, 2.0 ba ,1510 sqft",EXP REALTY OF CALIFORNIA INC,11,https://www.zillow.com/homedetails/1697-Lowell-Ave-Claremont-CA-91711/21499454_zpid/
House for sale,,Claremont,CA,91711,"$699,900","3 bds, 2.0 ba ,2044 sqft","HOMESMART, EVERGREEN REALTY",11,https://www.zillow.com/homedetails/991-Vanderbilt-Ave-Claremont-CA-91711/21501249_zpid/
House for sale,,Claremont,CA,91711,"$899,000","4 bds, 3.0 ba ,2747 sqft",MAINSTREET REALTORS,12,https://www.zillow.com/homedetails/882-Hood-Dr-Claremont-CA-91711/21497939_zpid/
House for sale,,Claremont,CA,91711,"$619,888","4 bds, 1.0 ba ,1783 sqft",RE/MAX CHAMPIONS,14,https://www.zillow.com/homedetails/347-Sycamore-Ave-Claremont-CA-91711/21502790_zpid/
New construction,,Claremont,CA,91711,"$449,990+","3 bds, 3.0 ba ,1531 sqft",Taylor Morrison,15,https://www.zillow.com/community/meadow-park/2081115670_zpid/
House for sale,,Claremont,CA,91711,"$569,000","4 bds, 2.0 ba ,1308 sqft",CENTURY 21 Citrus Realty,15,https://www.zillow.com/homedetails/114-Belhaven-Pl-Claremont-CA-91711/21502502_zpid/
For sale by owner,,Claremont,CA,91711,"$569,999","3 bds, 3.0 ba ,1901 sqft",,17,https://www.zillow.com/homedetails/1649-Mankato-Ct-Claremont-CA-91711/21499972_zpid/
House for sale,,Claremont,CA,91711,"$950,000","5 bds, 4.0 ba ,3124 sqft",CENTURY 21 Award,20,https://www.zillow.com/homedetails/2104-Mercer-Ct-Claremont-CA-91711/21654208_zpid/
Pre-foreclosure,,Claremont,CA,91711,,"3 bds, 2.0 ba ,1904 sqft",,21,https://www.zillow.com/homedetails/3837-Shelter-Grove-Dr-Claremont-CA-91711/21497386_zpid/
House for sale,,Claremont,CA,91711,"$2,200,000","5 bds, 5.0 ba ,5300 sqft",RE/MAX MASTERS REALTY,22,https://www.zillow.com/homedetails/4068-Padua-Ave-Claremont-CA-91711/54949679_zpid/
House for sale,,Claremont,CA,91711,"$525,000","3 bds, 2.0 ba ,1302 sqft","Oscar G. Briseno, Broker",23,https://www.zillow.com/homedetails/156-Bryn-Mawr-Rd-Claremont-CA-91711/21506762_zpid/
House for sale,,Claremont,CA,91711,"$1,049,000","3 bds, 3.0 ba ,2648 sqft",RE/MAX RESOURCES,24,https://www.zillow.com/homedetails/2508-N-Mountain-Ave-Claremont-CA-91711/21654464_zpid/
Pre-foreclosure,,Claremont,CA,91711,,"3 bds, 2.0 ba ,1825 sqft",,26,https://www.zillow.com/homedetails/1127-Turning-Bend-Dr-Claremont-CA-91711/21498317_zpid/
House for sale,,Claremont,CA,91711,"$1,799,888","5 bds, 6.0 ba ,5629 sqft",COLDWELL BANKER TOWN & COUNTRY,28,https://www.zillow.com/homedetails/1351-Appalachian-Claremont-CA-91711/82872413_zpid/
House for sale,,Claremont,CA,91711,"$565,000","3 bds, 1.0 ba ,1116 sqft",GORDIEN & ASSOCIATES,31,https://www.zillow.com/homedetails/334-S-College-Ave-Claremont-CA-91711/21502750_zpid/
